open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1638559140000,5.03700000,5.04800000,5.03600000,5.04800000,799.30000000,1638559199999,4025.89440000,7,608.50000000,3064.97360000,0
1638559200000,5.03600000,5.04200000,5.03300000,5.04200000,30.40000000,1638559259999,153.16910000,5,13.80000000,69.57960000,0
1638559260000,5.04200000,5.04200000,4.99100000,4.99100000,6100.80000000,1638559319999,30582.97870000,126,134.00000000,675.31600000,0
1638559320000,4.99400000,5.00700000,4.97500000,4.97500000,2167.60000000,1638559379999,10813.13380000,59,271.80000000,1356.74750000,0
1638559380000,4.97300000,4.98600000,4.96200000,4.98600000,2621.20000000,1638559439999,13044.65180000,67,1940.50000000,9664.75840000,0
1638559440000,4.97800000,4.98400000,4.95900000,4.97500000,2967.30000000,1638559499999,14766.25950000,45,718.30000000,3577.33220000,0
1638559500000,4.97000000,4.97000000,4.95700000,4.95700000,869.70000000,1638559559999,4314.19530000,25,12.20000000,60.63400000,0
1638559560000,4.95700000,4.97500000,4.95400000,4.95400000,3503.40000000,1638559619999,17404.32320000,34,2750.20000000,13668.96540000,0
1638559620000,4.95400000,4.95500000,4.95000000,4.95000000,1147.60000000,1638559679999,5681.80940000,32,166.20000000,823.48280000,0
1638559680000,4.95000000,4.95500000,4.93500000,4.95000000,3241.10000000,1638559739999,16037.61180000,52,103.30000000,510.94880000,0
1638559740000,4.94600000,4.94600000,4.91200000,4.92200000,2707.70000000,1638559799999,13339.20950000,64,62.30000000,307.51270000,0
1638559800000,4.92200000,4.93900000,4.92200000,4.93500000,1652.30000000,1638559859999,8155.41170000,31,1567.50000000,7737.43380000,0
1638559860000,4.92300000,4.93600000,4.92200000,4.93200000,1770.10000000,1638559919999,8723.30460000,30,744.70000000,3673.65480000,0
1638559920000,4.93200000,4.93200000,4.92500000,4.93100000,491.90000000,1638559979999,2422.94000000,8,53.40000000,263.32750000,0
1638559980000,4.93100000,4.95700000,4.92500000,4.95700000,3338.70000000,1638560039999,16508.98320000,44,2480.60000000,12269.06300000,0
1638560040000,4.95600000,4.96500000,4.94300000,4.95400000,505.40000000,1638560099999,2504.42930000,14,422.30000000,2092.99060000,0
1638560100000,4.94800000,4.96000000,4.94200000,4.95700000,1176.90000000,1638560159999,5830.79210000,40,846.90000000,4198.84880000,0
1638560160000,4.94800000,4.95400000,4.94800000,4.95400000,36.80000000,1638560219999,182.23550000,3,32.90000000,162.93440000,0
1638560220000,4.94700000,4.94900000,4.94200000,4.94300000,371.40000000,1638560279999,1836.67690000,14,170.60000000,844.12510000,0
1638560280000,4.94300000,4.94900000,4.94200000,4.94200000,1408.30000000,1638560339999,6960.33040000,18,219.20000000,1083.73140000,0
1638560340000,4.94200000,4.95300000,4.92800000,4.93500000,6099.40000000,1638560399999,30140.68970000,51,398.70000000,1970.97410000,0
1638560400000,4.92500000,4.93300000,4.92500000,4.92500000,784.10000000,1638560459999,3862.16690000,18,58.80000000,289.96720000,0
1638560460000,4.92600000,4.93000000,4.92500000,4.93000000,2751.20000000,1638560519999,13550.83470000,19,590.70000000,2910.37220000,0
1638560520000,4.93300000,4.94000000,4.92500000,4.92500000,1617.70000000,1638560579999,7982.96060000,24,486.60000000,2401.22080000,0
1638560580000,4.93700000,4.94400000,4.92700000,4.94400000,4535.80000000,1638560639999,22375.87840000,23,4392.20000000,21667.93610000,0
1638560640000,4.93400000,4.94500000,4.93400000,4.94300000,164.90000000,1638560699999,814.11280000,7,3.10000000,15.32950000,0
1638560700000,4.93100000,4.93900000,4.93100000,4.93400000,279.60000000,1638560759999,1379.52890000,5,259.10000000,1278.39940000,0
1638560760000,4.94300000,4.94500000,4.94000000,4.94000000,37.00000000,1638560819999,182.82880000,4,34.40000000,169.97700000,0
1638560820000,4.93400000,4.93800000,4.93300000,4.93500000,138.70000000,1638560879999,684.42550000,10,15.50000000,76.50360000,0
1638560880000,4.93400000,4.93600000,4.92500000,4.93300000,2754.20000000,1638560939999,13588.65500000,33,543.60000000,2680.84820000,0
1638560940000,4.93200000,4.93300000,4.92600000,4.93200000,545.00000000,1638560999999,2685.49240000,8,121.30000000,598.30700000,0
1638561000000,4.92600000,4.94300000,4.92600000,4.92700000,1086.10000000,1638561059999,5355.62220000,16,344.80000000,1700.77220000,0
1638561060000,4.92700000,4.94100000,4.92600000,4.94100000,261.10000000,1638561119999,1288.38460000,12,139.70000000,690.17010000,0
1638561120000,4.92900000,4.94700000,4.92800000,4.93900000,126.00000000,1638561179999,621.39360000,6,10.10000000,49.96470000,0
1638561180000,4.94400000,4.94400000,4.93200000,4.94000000,477.00000000,1638561239999,2356.57670000,13,463.70000000,2290.89830000,0
1638561240000,4.93200000,4.93300000,4.92600000,4.93200000,584.60000000,1638561299999,2883.09940000,11,108.60000000,535.58080000,0
1638561300000,4.92700000,4.92700000,4.92200000,4.92200000,350.60000000,1638561359999,1726.13430000,11,9.10000000,44.80840000,0
1638561360000,4.92200000,4.93100000,4.92200000,4.93100000,886.00000000,1638561419999,4362.02740000,7,163.00000000,803.42140000,0
1638561420000,4.93700000,4.93700000,4.92300000,4.92300000,141.40000000,1638561479999,696.38980000,5,12.00000000,59.24400000,0
1638561480000,4.92600000,4.93000000,4.92400000,4.92500000,402.90000000,1638561539999,1985.47940000,8,218.40000000,1076.71200000,0
1638561540000,4.92600000,4.93800000,4.92600000,4.93800000,247.30000000,1638561599999,1220.66610000,7,217.40000000,1073.34160000,0
1638561600000,4.92900000,4.93600000,4.92200000,4.92200000,227.30000000,1638561659999,1119.69290000,11,61.60000000,303.89740000,0
1638561660000,4.92200000,4.93100000,4.92000000,4.92000000,3244.70000000,1638561719999,15970.57380000,17,110.30000000,543.26560000,0
1638561720000,4.92000000,4.92000000,4.90500000,4.90500000,2501.60000000,1638561779999,12275.77860000,36,37.00000000,181.77840000,0
1638561780000,4.90500000,4.90500000,4.89400000,4.90000000,3493.20000000,1638561839999,17122.38530000,65,584.00000000,2862.87820000,0
1638561840000,4.90600000,4.91400000,4.90200000,4.90200000,208.90000000,1638561899999,1024.51640000,15,97.60000000,478.92070000,0
1638561900000,4.90200000,4.91100000,4.89900000,4.91000000,142.50000000,1638561959999,698.93240000,7,0.00000000,0.00000000,0
1638561960000,4.90400000,4.92400000,4.90400000,4.90400000,1307.10000000,1638562019999,6425.01570000,20,1184.50000000,5823.55010000,0
1638562020000,4.90500000,4.92100000,4.90200000,4.91100000,446.80000000,1638562079999,2195.13840000,15,59.90000000,294.64570000,0
1638562080000,4.91100000,4.91300000,4.90100000,4.90100000,94.70000000,1638562139999,464.40150000,12,10.30000000,50.58330000,0
1638562140000,4.91300000,4.91300000,4.89500000,4.89500000,1583.40000000,1638562199999,7759.60370000,20,523.50000000,2571.17000000,0
1638562200000,4.89500000,4.89900000,4.87400000,4.87600000,2341.10000000,1638562259999,11448.39240000,82,37.20000000,181.84500000,0
1638562260000,4.87600000,4.89400000,4.83800000,4.84000000,4590.60000000,1638562319999,22320.76760000,140,254.00000000,1240.10760000,0
